sentence,label
"Such compound is the end member of a series on which our research groups have recently focused, as forming new types of lithium salts [e.",Background
Semiconductor nanoparticles that show these quantum size effects are called quantum dots.,Background
Their tendency to form spherical reverse micelles whose size increases with increase in Wo (the molar ratio of water to surfactant in oil) has been used with success in the synthesis of inorganic nanoparticles of controlled dimensions.,Background
The driving force for the entrapment is the attractive electrostatic interactions between the cadmium cations present in the solution and the anionic sulfate group of AOT molecules within the thin film matrix.,Background
Such charge overcompensation (though not to this extent) is known to occur in the layer-by-layer electrostatically assembled systems.,Background
A number of factors could be responsible for the observed trends in mass change.,Background
"Unlike AOT having double hydrocarbon chains, stearic acid and octadecyl amine molecules are single chained molecules and tend to pack in planar structures in the form of bilayer stacks.",Background
AOT as mentioned above has an inherent tendency to form spherical reverse micelles.,Background
5% for polystyrene particles) are readily available either from commercial suppliers or by published syntheses.,Background
As the volume fraction of particles in solution increases the particles crystallise into close packed arrays driven by maximisation of the vibrational entropy of the system.,Background
"These close packed arrays of uniform sub-micron particles offer an attractive and, in principle, simple means to template the three dimensional structure of a variety of materials.",Background
"Arrays of particles of this type one or two layers thick have been used as masks in lithographic processes where material was either deposited through the layer or the layer was used as an etch resist in a process sometimes referred to as “natural lithography”, for examples see the recent review by Burmeister et al.",Background
Three dimensional close packed arrays of uniform colloidal spherical particles (artificial opals) have also attracted attention because of their potential as templates for the fabrication of photonic crystals.,Background
However for photonic crystal applications the inverse opal structure is more attractive because it has a higher proportion of void space.,Background
"Interest in two and three dimensional photonic crystals is driven by the potential applications of these structures in optoelectronic devices such as integrated waveguide structures, optical limiters and switches.",Background
This process often leads to significant shrinkage of the structures (typically by 20 to 35%) and cracking of the sample.,Background
"Subsequent work has extended this approach to the deposition of other semiconductors metals (notably platinum, gold, silver, cobalt, nickel tin/cobalt alloy), metal oxides (ZnO and PbO2) and conducting polymers.",Background
A recent review by Braun and Wiltzius concentrates on the electrochemical growth of photonic crystals.,Background
"Second, electrodeposition can be used to prepare a wide range of materials from both aqueous and non-aqueous solutions under conditions which are compatible with the template.",Background
"Fourth, electrochemical deposition is ideal for the production of thin supported layers for applications such as photonic mirrors since the surface of the electrochemically deposited film can be very uniform.",Background
"It is also important to note that, because the template spheres are assembled onto the flat surface of the electrode and because electrochemical deposition occurs from the electrode surface out through the overlying template, the first layer of templated material, deposited out to a thickness comparable to the diameter of the template spheres used, has a different structure from subsequent layers.",Background
Remote nanoparticle detection is required for the development of in situ biological probes.,Background
Fluorescence is a possible detection technology since it is both sensitive and selective and is already widely used for biological analysis.,Background
Our group has recently succeeded in proving the existence of enantioselective discrimination in the intramolecular quenching of benzoylthiophene-derived triplets by phenols and indoles.,Background
"This has been defined as a type of quenching different from energy or electron transfer and does not lead to any photochemical product; it is inherent to photoreactions via triplet exciplexes They can compete with other events such as electron transfer (ET); actually, using benzophenone–anisole systems it has been demonstrated that the relationship between IQ rate constants and oxidation potentials follows Rehm–Weller behavior.",Background
"Bichromophoric compounds containing benzophenone and naphthalene units constitute classical textbook systems, that have been used to study singlet–singlet and triplet–triplet energy transfer processes.",Background
"In this respect, Shizuka and co-workers have studied benzophenone–methoxynaphthalene bichromophores BP–(CH2)3–NPOMe",Background
"They suggested that deactivation of the methoxynaphthalene triplet, generated by intramolecular benzophenone photosensitization, occurs by interaction with the ground-state BP-moiety through triplet exciplexes with loose sandwich-like structures and weak charge transfer character.",Background
Intramolecular triplet–triplet energy transfer from KP (ET = 69 kcal mol–1)12 to the NPX moiety (ET = 62 kcal mol–1)9 results in the NPX triplet (λabs = 430 nm),Background
"Diastereomeric discrimination, though associated with charge transfer quenching (rather than exciplex formation) has been previously reported for 1,2,3,4-tetraphenyl-1,4-diketones.",Background
